ACCLIVITY|오르막|sharp upslope cf.declivity|2015-03-13 오후 2:46:15
RAZE|v.:destroy completely; to destroy:무너뜨리다|The owners intended to raze the hotel and erect an office building on the site.; A flash-fire razed the office building before it could be controlled.|경영주들은 호텔을 무너뜨리고 그 자리에 사옥을 세울 작정이었다.  참고:[+] 불도저 경주(race)하다가 졸아서('z') 앞의 건물을 무너뜨리게(raze) 되었다.
REACTIONARY|a.:recoiling from progress; retrograde:반동의; 되돌아가는, 역행의|His program was reactionary since it sought to abolish many of the social reforms instituted by the previous administration.|그의 계획은 이전의 행정부에 의해 제정된 사회 개혁의 상당 부분을 폐지시키고자 했기 때문에 반동적이었다.  참고:[+] retrogressive
REALM|n.:kingdom; sphere:왕국; 영역 / 범위|The realm of possibilities for the new invention was endless.|발명을 위한 가능성의 영역은 끝이 없었다.  참고:[+] empire; compass, extent, purview, scope
REBATE|n.:discount:할인|We offer a rebate of ten percent to those who pay cash.|우리는 현금을 지불하는 사람에게는 10
REBUFF|v.:snub; beat back:거절하다, 퇴짜놓다|She rebuffed his invitation so smoothly that he did not realize he had been snubbed.|그녀는 그의 초대를 너무도 부드럽게 거절하였기 때문에 그는 자기가 퇴짜 맞은 것을 알지 못했다.  참고:[-] welcome(받아들이다)
REBUTTAL|n.:refutation; response with contrary evidence:반박,논박|The defense lawyer confidently listened to the prosecutor sum up his case, sure that she could answer his arguments in her rebuttal.|검사가 사건을 요약하여 말하는 것을 자신있게 들었던 피고측 변호사는 검사의 주장을 반박할 수 있으리라 확신하다.  참고:[+] contradiction, disproof
RECALCITRANT|a.:obstinately stubborn:고집센, 순종하지 않는|Donkeys are reputed to be the most recalcitrant of animals.|당나귀는 동물 중에서 가장 다루기 힘든 동물로 알려져 있다.  참고:[+] unruly, fractious, intractable, untoward; 고집스럽게(recalcitrant) 다시 계산하는; [-] amenable(순종하는)
RECANT|v. re(=back, away) + cant(=sing):withdraw or renounce beliefs, statement, etc. in a formal or public manner / repudiate; withdraw previous statement:공식적으로 취소하다, 철회하다 / 이전의 주장을 철회하다|What a mockery it is for intellectuals, terrorized by a dictatorship, to recant publicly the ideas and ideals on which they have based their lives! ; Unless you recant your confession, you will be punished severely.|지성인들이 독재에 겁을 먹고 그들 인생의 바탕이었던 사상과 이상을 공개적으로 취소하는 것은 얼마나 조롱거리이냐? ; 당신의 진술을 취소하지 않으면 당신은 심한 처벌을 받을 것이다.  참고:[+] 다시(re) 할 수 없으니까(can't) 취소하다, 주장을 철회하다. (recant); [-] affirm(확증하다)
RECAPITULATE|v. re(=again) + cap(=head):repeat the chief points of something that has been said, discussed, argued about, etc. / summarize:요점을 되풀이하여 말하다, 개괄하다 / 요약하다|Biologists have a theory that every plant or animal in the course of its individual development recapitulates all the stages of its evolutionary ancestry. ; Let us recapitulate what has been said thus far before going ahead.|물학자들은 모든 식물이나 동물이 개체발달 과정에서 그 진화계통의 모든 단계를 반복한다는 이론을 갖고 있다. ; 계속 진행하기 앞서 지금까지 언급된 것을 요약해 보자.  참고:[+] epitomize, review
RECEPTIVE|a. re(=intensive) + cept(=take):quick or ready to receive suggestions, new ideas, etc. / quick or willing to receive ideas,:잘받아들이는, 감수성이 예민한, 이해가 빠른 / 잘 받아들이는; 감수성이 예만한|I was confident that after Dad had eaten a good meal, he would be in a more receptive mood to my request for the use of the car. ; Adventure-living Huck Finn proved a receptive audience for Tom's tales of buried treasure and piracy.|아버지가 식사를 잘 하시고 난 뒤에는 차를 쓰겠다는 나의 요구를 더 잘 받아들일수 있는 기분이 될 것이라고 나는 확신했다. ; 모험을 좋아하는 허클 베리 핀은 묻힌 보물과 해적행위에 대한 탐의 이야기를 쉽게 받아들였다.  참고:[+] acceptant, acceptive, responsive
RECESSION|n.:withdrawl; retreat:철수; 후퇴 / 반환|The recession of the troops from the combat area was completed in an orderly manner.|전투지로부터 군대의 철수는 질서 있게 이루어졌다.  참고:[+] retreat, setback; cf. cession (양도, 할양)
RECHERCHE|a.:choice, sought after; rare:정선된; 추구되는; 희귀한|His language was peculiarly literary; he avoided common expressions ad used recherche terminology as often as possible.|그의 말은 유별나게 문학적이었다; 그는 평범한 표현들을 피하고 가능한 한 자주 희귀한 용어를 사용했다.  참고:
RECIDIVISM|n.:habitual return to crime:상습범죄|Prison reformers in the United States are disturbed by the high rate of recidivism; the number of men serving second and third terms in prison indicates the failure of the prisons to rehabilitate the inmates.|미국의 교도소 개혁가들은 높은 비율의 상습 범죄에 의해 당황하고 있다; 2,3차례째 복역하고 있는 전과범들의 수를 볼 때 교도소들이 재감자들을 갱생시키고자 하는 일에 실패한 사실을 나타낸다.  참고:[+] 다시(re) CD비전을 훔치면 상습적인 범죄다.(recidivism)
RECIPIENT|n.a. re(=again) + cip < cap(=take):person who receives something / receiving / receiver:받는 사람,수령인 / 받는,수령하는|Liz was overjoyed when it was announced that she was the recipient of the Senior Medical in poetry. ; Although he had been the recipient of many favors, he was not grateful to his benefactor.|Liz는 그녀가 시 분야의 최고상 수상자로 발표되었을때 너무나 기뻤다. ; 그는 은혜를 많이 받은 사람이었음에도 불구하고 그의 은인들에게 감사하지 않았다.  참고:
RECIPROCAL|a.:mutual; exchangeable; interacting: 교환할 수 있는; 상호작용하는|The two nations signed a reciprocal trade agreement.|그 두 국가는 상호 무역 협정에 조인했다.  참고:
RECIPROCATE|v. re(=back) + ci(=s.e.) + pro(=forward) + c(=s.e.) +ate(=make):give and recieve, each to and from each ; cause to move backwards and forwards in a straight line / repay in kind:주고받다, 답례하다 ; <<기계가>> 왕복운동을하다 / 보답하다, 갚다; 응수하다|Can you blame me for being bitter when a supposed friend reciprocated my confidence with betrayal and slander? ; If they attack us, we shall be compelled to reciprocate and bomb their territory.|친구라고 생각했던 사람이 나의 신의에 배신과 비방으로 보답하는데도 당신이 나를 가혹하다고 비난할 수 있습니까? ; 그들이 우리를 공격해오면 우리는 반격해서 그들의 영토를 폭격하지 않을 수 없다.  참고:[+] recompense, requite, retaliate
RECLUSE|n.a. re(=back) + clus(=shut):person who lives alone and avoids other people / shut away from the world / hermit; a person who chooses to live apart from society:속세를 떠난 사람,은둔자 / 속세를 떠난,은둔의|Do you understand how someone can live as a recluse even in the midst of a great city? ; The recluse lived in a hut in the forest.; After his wife died, he became a recluse, refusing to see anyone but his closest friends.|대도시 한복판에서도 은둔자로 살 수 있다는 사실이 이해가 갑니까? ; 은둔자는 숲속 오두막에서 살았다.  참고:[+] solitary
RECONCILE|v.:make friendly after quarrel; correct inconsistencies; to settle on friendly terms:화해시키다; 일치시키다|Each month we reconcile our checkbook with the bank statement.; Since the couple could not reconcile their differences, they decided to get a divorce.|달마다 우리는 수표장을 은행 기록과 일치시킨다.  참고:[+] reconciliate
RECONDITE|a.:abstruse; profound; secret:알기 어려운; 심오한; 사람에게 알려지지 않은|He read many recondite books in order to obtain the material for his scholarly thesis.|그는 학술 논문 자료를 얻기 위하여 심오한 책들을 많이 읽었다.  참고:[+] esoteric; 예컨대(recondite) 심오하고 알기 어려운 것은 무조건 외워라!; [-] widely understood(널리 알려진)
RECONNAISSANCE|n. re(=again) + con(=thoroughly) + n < gn < gno(=know):an exploratory survey or examination, as in seeking out information about enemy positions, installations, etc. or as in making a preliminary geological or engineering survey / survey of enemy by soldiers; reconnoitering:정찰, 수색, 답사, 예비점검|Before you launch your attack on the problem of civic corruption, you should carry out a careful reconnaissance to get a realistic idea of what you are up against. ; If you encounter any enemy soldiers during your reconnaissance, capture them for questioning.|시의 부정문제를 공격하기 전에 당신이 공격하고 있는 내용을 실제로 알기위해 세심한 조사를 해야한다. ; 정찰시 적군들을 만나면 누구든 포획해서 심문하라.  참고:[+] 감정인(connoisseur)이 다시 보는 행동을 정찰(reconnaissance)이라 하지...
RECOURSE|n. re(=back) + cours < curs(=run):a turning or seeking for aid,safety,etc. ; something turned to for help / resorting to help when in trouble:의지,의뢰 ; 의지가 되는 것|What recourse do I have if he fails to carry out his side of the agreement? ; The boy's only recourse was to appeal to his father for aid.|그가 합의서의 자기쪽 사항을 이행하지 못하면 내가 무엇에 의지 합니까? ; 소년의 유일한 의지는 아버지에게 도움을 청하는 것이었다.  참고:[+] refuge, resort
RECREANT|n.:coward; betrayer of faith:겁장이; 배신자|The religious people ostracized the recreant who had abandoned their faith.|종교인들은 그들의 신앙을 저버린 변절자를 추방했다.  참고:[+] poltroon, dastard, coward, craven; renegade, apostate, defector
RECRIMINATION|n. re(=again, back) + crimin(=crime):accusation made in return for one already made ; countercharge / countercharges:맞고소 ; 맞비난|Instead of hurling recriminations at each other for the failure, let's try calmly to determine what went wrong and to prevent it from happening again. ; Loud and angry recriminations were her answer her answer to his accusations.|그 실패에 관해 서로 비난 만 퍼붓지만 말고 침착하게 무엇이 잘못되었는가를 알아내고 그것의 재발을 막도록 노력합시다 ; 큰소리의 화난 반격이 그의 비난에 대한 그녀의 응수였다.  참고:
RECRUDESCENCE|n.:reopening of a wound or sore:재발|Keep this wound bandaged until it has completely healed to prevent its recrudescence.|재발을 막기 위해 완전히 나을 때까지 이 상처를 붕대로 감아 두시오.  참고:[+] 다시(re) 잔인하게(cru...) 되면 상처가 재발한다(recrudescence).
RECTIFY|v. rect(=right) + i(=s.e.) + fy(=make):put right, take out mistakes from ; purify or refine / correct:개정하다,<<악습따위를>>바로잡다, 교정하다 ; 정류하다 / 고치다|The team of accountants spent hours trying to locate and then to rectify the error I had so carelessly made. ; I want to rectify my error before it is too late.|내가 무심코 저지른 실수를 찾아 바로 잡느라고 회계팀이 몇 시간을 보냈다. ; 나는 너무 늦기 전에 나의 실수를 바로 잡고 싶다.  참고:[+] amend, emend, redress
